,Unnamed: 0, Rank,Sales,Profits,Assets,Market Value
0,,1,151.4,42.0,3473.2,229.8
1,,2,134.2,35.0,3016.6,200.5
2,,3,222.9,24.1,620.9,409.9
3,,4,102.5,24.2,2513.0,306.6
4,,5,97.6,21.9,1943.4,274.4
5,,6,115.7,27.8,2816.0,149.2
6,,7,92.2,16.6,2196.8,231.9
7,,8,113.1,24.9,2611.5,141.3
8,,9,217.5,45.2,331.1,752.0
9,,10,249.9,17.1,412.5,171.9
10,,11,163.8,13.0,403.8,249.3
11,,12,84.0,14.7,1795.1,164.3
12,,13,197.5,7.8,330.3,343.2
13,,14,119.7,10.0,365.2,261.2
14,,15,174.0,19.3,217.1,254.3
15,,16,106.6,9.5,801.0,100.8
16,,17,485.3,13.6,198.8,221.1
17,,18,126.0,13.1,244.2,198.4
18,,19,85.3,16.8,224.6,507.5
19,,20,234.8,4.7,411.3,228.8
20,,21,115.7,7.6,935.9,83.7
21,,22,106.8,16.4,218.9,225.3
22,,23,74.7,8.4,2190.7,80.5
23,,24,89.9,19.5,167.5,579.5
24,,25,255.7,7.0,216.7,105.1
25,,26,128.1,6.2,231.0,128.1
26,,27,132.2,6.2,925.9,60.8
27,,28,169.5,9.4,256.3,76.1
28,,29,240.3,5.7,458.7,72.9
29,,30,49.2,8.2,2589.8,83.9
30,,31,80.4,8.7,180.5,193.5
31,,32,71.9,16.4,141.2,338.6
32,,33,48.3,6.9,1412.4,89.4
33,,34,53.0,10.1,1209.2,62.2
34,,35,90.8,8.7,129.8,229.5
35,,36,184.9,7.2,125.0,160.2
36,,37,105.0,7.4,180.3,92.2
37,,38,61.3,6.7,419.9,79.2
38,,39,82.1,8.3,213.2,78.6
39,,40,91.4,12.1,265.4,51.8
40,,41,166.4,9.4,221.7,50.8
41,,42,44.5,9.4,855.1,66.4
42,,43,79.9,11.9,117.5,162.4
43,,44,35.3,8.3,891.1,107.2
44,,45,123.7,3.1,2522.1,55.1
45,,46,65.2,9.5,117.0,228.1
46,,47,52.8,7.1,171.6,203.1
47,,48,62.1,2.5,2375.0,162.6
48,,49,36.9,7.4,860.2,90.6
49,,50,88.4,6.4,133.1,109.8
50,,51,104.2,7.6,210.3,57.7
51,,52,82.8,2.9,388.7,98.1
52,,53,53.6,5.1,891.3,57.9
53,,54,59.4,10.3,113.3,170.4
54,,55,48.0,6.0,1189.4,55.2
55,,56,43.0,8.1,415.6,63.9
56,,57,31.9,6.9,910.4,92.0
57,,58,48.6,9.8,126.2,165.1
58,,59,30.9,7.1,703.6,109.9
59,,60,37.9,6.0,816.0,78.3
60,,61,48.5,6.7,130.4,193.2
61,,62,70.2,4.3,362.4,53.5
62,,63,44.3,8.1,872.1,45.1
63,,64,151.8,4.6,238.0,44.7
64,,65,40.1,8.0,842.8,50.5
65,,66,177.5,5.3,94.5,79.8
66,,67,54.9,9.0,91.6,178.0
67,,68,96.9,2.6,569.0,53.7
68,,69,56.3,4.3,784.0,45.6
69,,70,37.4,8.9,125.4,182.2
70,,71,140.8,4.9,201.4,43.2
71,,72,49.1,5.6,933.6,41.4
72,,73,94.6,4.9,90.0,108.8
73,,74,127.9,3.9,161.8,51.4
74,,75,40.2,7.2,848.7,43.7
75,,76,27.8,5.5,642.7,86.1
76,,77,80.9,3.0,156.6,80.0
77,,78,39.7,6.3,853.5,43.1
78,,79,51.3,9.7,75.6,219.3
79,,80,38.0,3.4,920.0,60.0
80,,81,26.7,5.5,680.3,70.5
81,,82,74.9,2.7,193.2,62.4
82,,83,136.0,2.4,86.0,427.0
83,,84,62.8,6.3,74.1,159.4
84,,85,30.5,5.2,1648.8,48.1
85,,86,41.5,6.5,87.3,182.9
86,,87,57.4,5.0,89.7,90.6
87,,88,37.4,5.2,110.4,116.1
88,,89,51.8,5.0,90.1,94.4
89,,90,29.0,6.0,1752.3,44.4
90,,91,67.3,3.2,364.3,40.0
91,,92,26.5,4.2,701.0,68.8
92,,93,63.7,4.5,83.9,91.0
93,,94,116.1,4.2,72.5,89.0
94,,95,105.9,4.5,157.3,38.4
95,,96,22.0,5.9,451.0,86.6
96,,97,34.0,5.4,158.9,70.1
97,,98,135.2,4.6,80.4,54.4
98,,99,75.9,2.8,164.1,47.5
99,,100,39.6,3.9,95.4,173.3
100,,101,24.2,4.3,595.3,65.0
101,,102,214.8,1.2,344.9,204.5
102,,103,58.3,5.7,59.5,143.9
103,,104,80.7,4.7,148.1,34.2
104,,105,27.3,3.8,771.9,49.6
105,,106,41.8,4.3,97.9,71.2
106,,107,29.0,3.5,153.2,101.6
107,,108,112.7,4.8,85.0,43.5
108,,109,31.9,4.1,159.8,64.0
109,,110,57.6,2.6,130.4,55.9
110,,111,26.5,4.2,183.0,77.1
111,,112,28.0,4.0,1457.9,39.9
112,,113,48.1,4.3,79.5,77.0
113,,114,94.6,8.0,43.0,176.7
114,,115,23.4,2.8,1010.5,55.9
115,,116,29.4,4.0,97.6,110.0
116,,117,26.5,3.6,120.5,110.4
117,,118,35.4,4.8,84.5,80.7
118,,119,27.6,9.5,65.0,407.3
119,,120,68.8,2.9,286.9,30.5
120,,121,24.8,3.4,764.8,45.3
121,,122,29.2,2.4,1499.0,45.4
122,,123,33.9,4.7,89.3,72.9
123,,124,34.0,2.4,119.5,98.3
124,,125,33.5,4.3,130.7,47.4
125,,126,45.6,1.2,261.1,213.1
126,,127,29.4,10.4,58.5,161.7
127,,128,27.9,3.7,357.0,40.3
128,,129,74.6,3.1,83.2,44.6
129,,130,43.6,3.6,207.6,32.1
130,,131,22.7,7.7,77.6,120.3
131,,132,57.3,2.3,430.6,29.0
132,,133,19.7,3.8,531.1,48.6
133,,134,30.3,13.5,57.0,87.0
134,,135,64.1,2.5,115.3,38.8
135,,136,39.3,4.7,54.1,94.6
136,,137,38.9,2.2,511.3,34.4
137,,138,51.9,6.1,147.2,25.5
138,,139,90.5,2.3,553.0,23.7
139,,140,21.5,5.7,70.7,264.9
140,,141,43.2,5.1,52.3,68.3
141,,142,53.0,2.7,93.9,40.4
142,,143,25.6,5.9,66.1,104.5
143,,144,44.6,2.8,189.5,30.6
144,,145,32.3,3.0,112.5,46.4
145,,146,78.8,2.5,297.1,23.3
146,,147,16.1,3.9,369.4,57.9
147,,148,22.8,6.2,57.0,277.1
148,,149,15.0,15.0,129.0,80.1
149,,150,26.1,4.6,578.5,26.8
150,,151,18.6,3.5,1607.7,36.5
151,,152,49.9,3.8,47.8,78.3
152,,153,29.3,3.9,66.0,76.2
153,,154,22.7,2.7,132.8,57.6
154,,155,85.2,2.5,65.1,44.0
155,,156,27.1,3.8,99.1,45.4
156,,157,15.1,4.2,649.6,45.4
157,,158,100.5,3.4,51.7,39.9
158,,159,60.5,3.4,40.4,91.3
159,,160,63.2,2.3,69.1,45.1
160,,161,26.5,3.4,82.3,54.1
161,,162,42.6,2.8,72.9,43.6
162,,163,15.6,3.5,333.5,48.8
163,,164,56.7,3.8,107.7,24.6
164,,165,95.4,1.9,108.6,29.6
165,,166,73.7,1.1,126.2,59.5
166,,167,93.2,2.1,109.3,26.5
167,,168,33.7,3.1,119.5,30.5
168,,169,37.1,2.5,71.5,47.6
169,,170,23.8,4.9,52.4,83.2
170,,171,48.8,3.2,76.7,30.4
171,,172,19.9,6.3,49.1,123.8
172,,173,16.0,6.0,63.4,206.4
173,,174,40.3,1.8,144.0,33.5
174,,175,64.7,0.8,905.2,57.2
175,,176,23.0,3.7,62.5,75.2
176,,177,19.3,14.2,45.9,138.8
